atrust		a-trust*
ac			ac_raíz*
acedicom	acedicom*
addtrust	addtrust*
affirmtrust	affirmtrust*
aol			america_online*
acf			*firmaprofesional*
baltimore	baltimore*
buypass		buypass*
cacert		cacert*
camerfirma	camerfirma*
certigna	certigna*
certinomis	certinmois*
certplus	certplus*
certum		certum*
cnnic		cnnic*
comodo		comodo*
comsign		comsign*
cybertrust	*cybertrust*
dt			deutsche_telekom*
digicert	digicert*
dst			dst_*
ebg			ebg_*
ec			ec-acc*
entrust		entrust*
equifax		equifax*
geotrust	geotrust*
globalsign	globalsign*
godaddy		go_daddy*
hari		hellenic*
hkp			hongkong_post*
igc			igc*
izenpe		izenpe*
japgov		*japanese_government*
juur		juur*
microsec	microsec*
netlock		netlock*
netsol		network_solutions*
nl			staat_der_nederlanden*			
oiste		oiste*		
quovadis	quovadis*
securesign	securesign*
securetrust	securetrust*
seccomm		security_communication*
sonera		sonera*
spi			spi*
strust		s-trust*		
starfield	starfield*
startcom	startcom*
swisscom	swisscom*
swisssign	swisssign*
taiwan		taiwan*
tc			tc_trustcenter
tdc			tdc_*
thawte		thawte_*
turktrust	turktrust*
twca		twca*
tubitak		tüb*
utn			utn*
valenciana	*valenciana*
valicert	valicert*
verisign	verisign*
visa		visa*
wells		wells*
xramp		xramp*
